Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,Google Cloud Program Manager,Program Management,Singapore,"change, global, Solutions, rationale, cancel, Provide, ship, Shape, support, stakeholders, enable, technical, identify, contributors, Architects, feedback, Cloud, efficient, expectations, Engineers, course, senior, Customer, professional, roles, Establish, transparent, among, resolution, paths, platform, manner, work, tied, Communicate, Measure, key, designed, program, others, metrics, scale, Product, show, crossteam, report, shepherd, Engineering, including, obstacles, teams, Sales, status, regular, timely, deliverables, operations, performance, need, Marketing, regional, programs","degree, program, equivalent, experience, practical, years, andor, software, BABS, marketing, cloud, project, enterprise, computing, management, technologies, 3","global, crossfunctional, engineering, successful, possess, manage, stakeholders, technical, outcomes, emerging, health, launch, priorities, based, skills, fields, technology, business, rapidlygrowing, expectations, sales, marketing, Significant, pressure, Experience, career, technologies, program, idea, work, market, experience, needs, multiple, direction, throughout, vision, contexts, internal, organization, Strong, across, Ability, changing, team, communication, andor, teams, overarching, related, cloud, SaaS, success, computing, Proven, flexibility, manager, demands"
Google,"Supplier Development Engineer (SDE), Cable/Connector",Manufacturing & Supply Chain,"Shanghai, China","tools, plans, material, process, establish, proactively, enable, technical, fixtures, phases, delivery, chain, technologies, product, operational, Industry, Drive, FMEA, project, phase, standard, Collaborate, validation, production, consistently, readiness, overall, flow, NPI, assessing, Technical, propose, Supportdrive, direction, suppliers, issues, Engineering, Utilize, quality, improvement, optimize, activities, supply, requirements, crossfunctional, engineering, blueprint, parameters, DOE’s, mass, validate, implementation, delivering, builds, etc, Lead, address, equipmentfixture, develop, manufacturing, utilizing, capability, statistical, schedules, designs, mature, continuous, identify, based, leading, efforts, including, teams, providing, equipment, risks, Operational","developing, Engineer, 7, Mandarin, working, CableConnector, equivalent, practical, fluently, NPI, Experience, role, Design, BS, English, experience, years, idiomatically, PDMechanical, manufacturing, Product, Manufacturing, Ability, write, degree, Engineering, speak, discipline, Interconnect, testing","tools, process, travel, BSME, Familar, BSEE, Analysis, moldling, BSIE, distribution, histogrampareto, Data, eg, PCBA, Experience, Design, etc, MIM, LIM, starter, attention, cableconnector, knowledge, Self, innovation, integrity, manufacturing, Ability, time, components, detail, degree, stamping, materials, DOE, Correlation, 50, related, diecasting, quality, Experiment, Demonstrated, using, analysis, chart, control, Statistics"
Google,"Data Analyst, Product and Tools Operations, Google Technical Services",Technical Solutions,"New York, NY, United States","requirements, crossfunctional, projects, stakeholders, manage, identify, clear, delivery, implementation, documentation, solutions, Build, insight, strategic, draw, drive, analyze, consensus, broad, collaboration, communication, gather, Collect, facilitating, Work, data","Business, year, SAS, developing, Operations, machine, 1, business, Research, Bachelor’s, modeling, equivalent, practical, manipulating, analytical, Economics, large, Experience, field, forecasting, work, experience, years, Python, R, datasets, degree, related, 2, statistical, analysis, learning, Statistics","ambiguous, database, language, explain, projects, stakeholders, manage, partnering, crossfunctionally, skills, eg, senior, Experience, consulting, environment, nonexperts, communicate, query, recommendations, multiple, concepts, Strong, presentation, Ability, ability, communication, Proficiency, SQL, statistical"
Google,"Developer Advocate, Partner Engineering",Developer Relations,"Mountain View, CA, United States","change, features, UX, fix, identify, Google, affecting, engineers, complex, build, systems, platforms, code, developer, new, products, interact, Google’s, source, adoption, engineeringfocused, Conceive, apps, drive, solve, web, issues, top, ideas, oneonone, exciting, users, productAPI, Conduct, Googles, design, andor, improve, regular, iOS, Android, bugs, developers, help, reproduce, Work, integrations, meetings","following, Java, languagesplatforms, working, equivalent, practical, Kotlin, Experience, directly, experience, partners, Programming, one, degree, BABS, Science, Android, iOS, Computer, Javascript","clients, stakeholders, application, CTO, working, technology, landscapes, interacting, developer, development, advocate, Experience, Knowledge, technologies, consultant, software, web, architect, internal, parties, third, mobile"
Google,"Program Manager, Audio Visual (AV) Deployments",Program Management,"Sunnyvale, CA, United States","Plan, change, requirements, Provide, handover, Ensure, process, goals, projects, stakeholders, support, partnering, scope, Interface, Regional, Manage, priorities, cross, validate, schedule, entire, changes, functional, Manager, products, new, completed, AV, understand, existing, initiatives, procedures, operational, Service, cost, communicate, program, Eng, PM, reports, lead, forecasts, project, internal, ongoing, closure, across, customers, tracking, accordance, agreed, usher, lifecycle, Set, Delivery, including, processes, teams, improve, finances, portfolio, vendor, services, strategy, Help, improvement, order, managed","vendors, deliver, projects, 4, defined, AudioVisual, equivalent, Global, practical, AV, large, Experience, system, Conferencing, resolution, experience, years, Video, managing, scale, Deployments, integration, degree, design, BABS","tools, Business, stakeholders, technical, sector, emerging, Excellent, skills, relevance, Certification, understand, subjects, Experience, varying, consulting, management, technologies, marketplace, CTS, levels, multiple, software, reporting, project, construction, Ability, relationship, across, interpersonal, building"
Google,"Associate Account Strategist (Czech/Slovak), Global Customer Experience",Technical Solutions,"Dublin, Ireland","via, advertising, Provide, advertisers, Tailor, towards, goals, customer, consultation, Implement, products, delivering, marketing, outstanding, phone, online, strategic, Communicate, experience, share, relationships, prioritizing, creative, best, ways, customers, email, Googles, improve, strategy, get, help, advice, Work, suggestions","degree, speak, experience, equivalent, practical, Bachelors, Czech, andor, fluently, idiomatically, Slovak, English, write, Ability","Effective, base, organizational, towards, goals, projects, manage, independently, proactively, account, customer, skills, within, working, sales, marketing, Experience, consulting, management, environment, specific, work, strategic, experience, multiple, managing, service, leading, Ability, ability, team, multitask, customizing, motivating, Demonstrated, effectively, fastpaced"
Google,"Supplier Development Engineer, Camera, Consumer Hardware",Hardware Engineering,"Mountain View, CA, United States","supply, tools, Collaborate, requirements, Production, designs, crossfunctional, process, material, blueprint, proactively, technical, parameters, identify, Manage, DOE’s, based, fixtures, phases, readiness, chain, overall, implementation, flow, NPI, assessing, Technical, propose, etc, address, technologies, operational, regarding, equipmentfixture, risks, issues, FMEA, project, develop, phase, leading, standard, manufacturing, industry, Mass, Engineering, Utilize, including, teams, Suppliers, optimize, equipment, schedules, Operational, activities","degree, Engineering, New, equivalent, experience, practical, years, camera, NPI, Introduction, Experience, role, Design, BS, manufacturing, Product, Manufacturing, 10","tools, decision, camera, Selfstarter, skills, details, functional, documentation, development, methods, Knowledge, Experience, management, making, Quality, attention, industries, project, organization, managing, innovation, integrity, module, integration, Masters, degree, Engineering, handling, including, processes, teams, related, Statistical, critical, data"
Google,"Strategic Technology Partner Manager, Healthcare and Life Sciences",Partnerships,"Sunnyvale, CA, United States","prompt, establish, long, healthcare, mutually, developing, ecosystem, support, challenges, gaps, Financial, supporting, Operations, priorities, enhance, technology, business, daily, products, new, recruiting, development, existing, Build, solutions, peer, Lead, etc, partner, offerings, ensure, resolution, product, partnerships, strategic, drive, sciences, key, partners, point, relationships, term, determine, Enhancement, beneficial, Management, Be, responsible, integrate, align, around, Product, integration, directions, Engineering, external, leverage, fill, life, teams, focus, Googles, contact, extend, portfolio, Sales, Engage, strategy, Help, Work, Training, areas, proper","Business, healthcare, within, working, markets, technology, 5, PlatformasaService, equivalent, practical, public, Experience, solutions, InfrastructureasaService, roles, SoftwareasaService, experience, years, Management, customerfacing, internal, Partner, across, PaaS, IaaS, industry, degree, andor, BABS, cloud, SaaS, Development","engineering, crossfunctional, healthcare, Partnership, developing, manage, technical, internally, launch, working, technology, designing, growing, systems, 5, equivalent, products, practical, new, Experience, solutions, field, 8, operational, applications, strategic, marketplace, sciences, experience, years, StrategyBusiness, level, relationships, Management, managing, variety, Product, ability, Background, plan, degree, Engineering, life, andor, teams, BABS, externally, Software, Demonstrated, Development"
Google,"Manufacturing Business Manager, Google Hardware",Manufacturing & Supply Chain,"Xinyi District, Taiwan","requirements, process, crossfunctional, periodic, implement, Manage, sourcing, technology, schedule, supplier, alternative, implementation, terms, mind, Lead, DFM, management, partner, RFX, cost, program, partners, needs, agreement, ideas, manufacturing, CMODM, Perform, choices, processes, Develop, strategy, quality, improvement, assigned, critical, creation, areas","Business, Supply, Operations, leadingmanaging, modeling, 5, equivalent, practical, analytics, Experience, Design, Contract, cost, experience, years, finance, Chain, Manufacturing, degree, Engineering, negotiation, Original, BABS, related, Manufacturers","supply, international, establish, travel, customs, extended, Legal, Mandarin, business, chain, documents, Asia, Willingness, Experience, procurement, partnerships, work, MBA, agreements, Fluency, impactful, Ability, team, time, degree, periods, legal, required, interpret, 25, familiarity, complete"
Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud",Technical Solutions,"New York, NY, United States","Create, healthcare, enable, technical, prototype, launch, delivery, new, white, customer’s, ensure, product, standards, survey, across, know, advisor, help, onsite, channels, case, Google, become, business, IT, products, shape, compile, thought, market, landscape, Define, multiple, direction, reviews, inregion, Healthcare, scale, Engineering, well, leadership, trusted, computing, activities, meetings, data, requirements, Provide, decision, customer, communities, Cloud, demonstrations, development, solutions, platform, Travel, drive, sciences, develop, managing, Product, life, design, required, makers, guide, Engage, Help, cloud, papers, needs, integrations, existing, meet, guides, feedback, deployment, Demonstrate, full, environment, PoC, andor, materials, teams, training, stage, implementers","science, Java, healthcare, working, IT, platforms, equivalent, practical, Go, Experience, infrastructure, solutions, field, environment, experience, sciences, storage, software, writing, similar, one, degree, Engineering, C, including, life, andor, domain, related, BABS, deploying, Science, cloud, Software, computing, languages, JavaScript, Computer, Python, data","science, healthcare, developing, technical, APIs, formats, useful, current, databases, empowering, working, fields, technology, designing, delivery, complex, systems, 5, models, equivalent, information, buses, networking, Experience, solutions, infrastructure, field, applications, work, protocols, environments, experience, years, sciences, security, communicate, closely, broad, concepts, enterprise, trends, cloudbased, variety, integration, Ability, Understanding, way, Masters, degree, Engineering, audiences, including, life, andor, teams, related, Sales, Science, cloud, computing, Marketing, memorable, Computer, approachable"
